1C,1c
SOL,sol
SonarQube,sonarqube
Sourcing Extensions,sourcing_extensions
Spark,spark
Spark Streaming,spark_streaming
Spring,spring
Spring Boot,spring_boot
Spring Data,spring_data
Spring Security,spring_security
SQL,sql
SQLite,sqlite
SQLMap,sqlmap
SSL,ssl
STL,stl
SUM,sum
Supa,supa
SVD,svd
SVG,svg
Swagger,swagger
Swift,swift
Tableau,tableau
TCP/IP,tcp_ip
TCP/UDP,tcp_udp
Telega.in,telega_in
Telegram Ads,telegram_ads
Telemetr,telemetr
Terminal,terminal
Terraform,terraform
TGStat,tgstat
Think-cell,think_cell
Tilda,tilda
TMS,tms
Tone of Voice,tone_of_voice
Tortoise,tortoise
Trello,trello
Triple Diamond,triple_diamond
Troubleshooting,troubleshooting
TypeScript,typescript
U2U, 121, ALS,u2u,_121,_als
Ubuntu,ubuntu
UI,ui
UI Testing,ui_tstng
UI-Kit,ui_kit
UICollectionView,uicollectionview
UIKit,uikit
UML,uml
UML-диаграммы,uml_diagrams
Unit Testing,unit_tstng
Unit-экономика,unit_economics
Use case,use_case
User / Job Story,user_job_story
User Experience,user_experience
User Journey Map,user_journey_map
User Stories,user_stories
UserDefaults,userdefaults
Uvicorn,uvicorn
UX,ux
UX-копирайтинг,ux_copywriting
UX-тестирование,ux_tstng
UX/UI-дизайн,ux_ui_dsgn
Videoleap,videoleap
Virtual Private Cloud,virtual_private_cloud
VK Реклама,vk_advertising
VS Code,vs_code
Waterfall,waterfall
WBS,wbs
Web API,web_api
Webpack,webpack
WebSocket,websocket
Wiki,wiki
Wildberries,wildberries
Wordstat,wordstat
X8,x8
XML,xml
XML/XSD,xml_xsd
XPath,xpath
YAML,yaml
Yandex Cloud,yandex_cloud
YandexGPT,yandexgpt
YouTrack,youtrack
Ysoserial,ysoserial
Zoom,zoom
